group_id,target,block_num,prev_block_num,similarity
G01,page-B,1,0,0.8648
G01,page-B,2,1,0.4204
G01,page-B,3,2,0.2817
G01,page-B,4,3,0.8251
G01,page-B,5,4,0.3293
G01,page3-35,1,0,0.8511
G01,page3-35,2,1,0.4523
G01,page3-35,3,2,0.2758
G01,page3-35,4,3,0.8121
G01,page3-35,5,4,0.3281
G01,page7-107,1,0,0.9232
G01,page7-107,2,1,0.4746
G01,page7-107,3,2,0.2839
G01,page7-107,4,3,0.9091
G01,page7-107,5,4,0.2373
G01,page9-46,1,0,0.9374
G01,page9-46,2,1,0.5011
G01,page9-46,3,2,0.3415
G01,page9-46,4,3,0.767
G01,page9-46,5,4,0.2252
G01,page5-28,1,0,0.8195
G01,page5-28,2,1,0.4345
G01,page5-28,3,2,0.2934
G01,page5-28,4,3,0.7344
G01,page5-28,5,4,0.2885
G01,page7-255,1,0,0.7672
G01,page7-255,2,1,0.4833
G01,page7-255,3,2,0.3996
G01,page7-255,4,3,0.8498
G01,page7-255,5,4,0.3573
G02,page5-28,1,0,0.4159
G02,page5-28,2,1,0.3719
G02,page5-28,3,2,0.4439
G02,page5-28,4,3,0.4668
G02,page5-28,5,4,0.5413
G02,page9-46,1,0,0.477
G02,page9-46,2,1,0.2623
G02,page9-46,3,2,0.4203
G02,page9-46,4,3,0.476
G02,page9-46,5,4,0.3776
G02,page-B,1,0,0.6235
G02,page-B,2,1,0.305
G02,page-B,3,2,0.41
G02,page-B,4,3,0.5265
G02,page-B,5,4,0.5538
G02,page7-255,1,0,0.5701
G02,page7-255,2,1,0.3352
G02,page7-255,3,2,0.4963
G02,page7-255,4,3,0.534
G02,page7-255,5,4,0.5321
G02,page3-35,1,0,0.4986
G02,page3-35,2,1,0.2443
G02,page3-35,3,2,0.4184
G02,page3-35,4,3,0.4666
G02,page3-35,5,4,0.5235
G02,page7-107,1,0,0.5236
G02,page7-107,2,1,0.3354
G02,page7-107,3,2,0.4805
G02,page7-107,4,3,0.5036
G02,page7-107,5,4,0.3302
